iter	Logloss
0	0.6776473737
1	0.6631918206
2	0.6470295209
3	0.6339427897
4	0.6192655435
5	0.607655153
6	0.5978181258
7	0.5868000867
8	0.5766867298
9	0.5662477913
10	0.5583707274
11	0.5485504604
12	0.5405158395
13	0.5318941916
14	0.5249158198
15	0.5184903497
16	0.5113630127
17	0.5051446539
18	0.4987454432
19	0.4938404527
20	0.4899060957
21	0.4830564801
22	0.4776506834
23	0.4727369195
24	0.4680716529
25	0.4640321973
26	0.4604045742
27	0.4573193248
28	0.453269432
29	0.4494014498
30	0.4456212311
31	0.4419051789
32	0.439277232
33	0.4361266666
34	0.4337887239
35	0.4314961303
36	0.4292172412
37	0.4272039724
38	0.4251026374
39	0.4238028526
40	0.4209207816
41	0.4198076268
42	0.4187539189
43	0.4170550078
44	0.4149522207
45	0.4123278437
46	0.4112777662
47	0.4099257951
48	0.4085907657
49	0.4067193527
50	0.4055905874
51	0.4039937798
52	0.4028167006
53	0.4019519523
54	0.4004363434
55	0.3989535891
56	0.3973386903
57	0.395651366
58	0.3943294361
59	0.3923507161
60	0.3911209062
61	0.3900380345
62	0.3894531253
63	0.3887233955
64	0.3879527941
65	0.3868921281
66	0.3856994687
67	0.3844359874
68	0.38294449
69	0.3818019597
70	0.3810267296
71	0.3804183441
72	0.3797092468
73	0.3790860979
74	0.3786911768
75	0.3779407238
76	0.3769938086
77	0.3758060805
78	0.3752580798
79	0.3744908062
80	0.3738726188
81	0.3734280829
82	0.3728044803
83	0.3722831324
84	0.3717765781
85	0.3712057062
86	0.3706860827
87	0.3697750474
88	0.369214159
89	0.3683415449
90	0.3679167944
91	0.3675471949
92	0.3670242739
93	0.3659591909
94	0.3650580786
95	0.3645155839
96	0.3639753884
97	0.3634204901
98	0.3627863292
99	0.3622838288
100	0.3620446495
101	0.360711405
102	0.3603938405
103	0.3600394885
104	0.3591398283
105	0.3588301598
106	0.3580912634
107	0.3577834403
108	0.3573199359
109	0.3565233473
110	0.3561344162
111	0.3553570382
112	0.3548352062
113	0.3544834257
114	0.3538167127
115	0.3533563848
