iter	Passed	Remaining
0	5	3757
1	10	3726
2	15	3608
3	21	3644
4	26	3708
5	31	3658
6	36	3627
7	41	3593
8	47	3597
9	52	3576
10	57	3582
11	62	3563
12	67	3535
13	72	3517
14	77	3500
15	82	3504
16	87	3490
17	93	3493
18	98	3501
19	103	3489
20	108	3483
21	113	3481
22	118	3470
23	124	3465
24	129	3460
25	134	3460
26	139	3453
27	144	3446
28	149	3431
29	154	3425
30	160	3424
31	165	3420
32	170	3416
33	176	3419
34	181	3414
35	186	3412
36	191	3407
37	196	3395
38	201	3391
39	207	3385
40	212	3380
41	217	3372
42	222	3371
43	228	3372
44	233	3367
45	238	3358
46	243	3350
47	248	3342
48	253	3342
49	259	3337
50	263	3322
51	268	3310
52	273	3306
53	278	3305
54	284	3300
55	289	3293
56	293	3284
57	299	3278
58	303	3268
59	308	3261
60	313	3254
61	318	3247
62	323	3238
63	328	3234
64	333	3228
65	338	3220
66	342	3208
67	348	3212
68	353	3203
69	358	3192
70	362	3181
71	367	3175
72	372	3168
73	377	3159
74	381	3150
75	386	3144
76	391	3135
77	396	3128
78	400	3118
79	404	3108
80	409	3101
81	414	3095
82	419	3089
83	425	3086
84	430	3081
85	434	3074
86	439	3067
87	444	3062
88	449	3057
89	454	3052
90	459	3045
91	465	3043
92	470	3038
93	475	3031
94	479	3024
95	484	3018
96	489	3011
97	493	3004
98	498	2995
99	503	2990
100	507	2982
101	513	2977
102	517	2970
103	523	2967
104	528	2962
105	533	2956
106	537	2949
107	542	2944
108	547	2938
109	552	2932
110	557	2926
111	562	2920
112	566	2913
113	571	2906
114	576	2900
115	580	2893
116	585	2886
117	590	2881
118	594	2874
119	599	2866
120	604	2861
121	609	2856
122	614	2853
123	619	2848
124	624	2843
125	629	2837
126	634	2832
127	639	2827
128	644	2823
129	650	2820
130	655	2816
131	660	2813
132	665	2808
133	671	2804
134	676	2799
135	681	2795
136	686	2789
137	691	2784
138	696	2779
139	701	2776
140	706	2771
